Dia,Hora Inicio,Hora Fin,Curso,Grupo,Aula,Profesor,Tipo Aula
Lunes,08:00,12:30,ALGORITMO Y FUNDAMENTOS DE PROGRAMACIÓN,C1-M-A,LAB-05,William Lopez,Laboratorio
Lunes,08:00,11:45,HERRAMIENTAS DIGITALES,C2-M-A,LAB-07,Hugo Morán,Laboratorio
Lunes,08:00,11:00,INVESTIGACIÓN OPERATIVA II,C4-M,AULA-40-05,Marisol Daga,Teoria
Lunes,08:00,12:30,DISEÑO DE PROCESOS DE NEGOCIOS,C6-M-A,LAB-06,Jenny Reynoso,Laboratorio
Lunes,08:00,12:30,DISEÑO DE PROCESOS DE NEGOCIOS,C6-M-B,LAB-04,Miriam Angoma,Laboratorio
Lunes,08:00,12:30,INTERNET DE LAS COSAS,C8-M-A,LAB-01,Cesar Cardenas,Laboratorio
Lunes,08:00,11:00,PROCESO DE LA INVESTIGACIÓN CIENTÍFICA,C8-M-B,LAB-03,Yuri Medina,Laboratorio
Lunes,13:15,17:00,FÍSICA GENERAL,C2-T,AULA-40-01,Nilo Colquepisco,Teoria
Lunes,13:15,17:00,SISTEMAS DIGITALES,C4-M-B,LAB-03,Marisol Daga,Laboratorio
Lunes,13:15,16:15,DERECHO EMPRESARIAL,C4-T,AULA-40-06,Maria Choquevilca,Teoria
Lunes,13:15,17:45,DATA WAREHOUSE,C6-M-B,LAB-06,William Lopez,Laboratorio
Lunes,13:15,17:45,DATA WAREHOUSE,C6-T-A,LAB-07,Cesar Cardenas,Laboratorio
Lunes,13:15,17:45,DISEÑO DE PROCESOS DE NEGOCIOS,C6-T-B,LAB-08,Jenny Reynoso,Laboratorio
Lunes,13:15,17:45,TESTING Y ASEGURAMIENTO DE LA CALIDAD EN DESARROLLO DE SOFTWARE,C8-T-A,LAB-01,Wilson Candia,Laboratorio
Lunes,13:15,17:45,INTERNET DE LAS COSAS,C8-T-B,LAB-02,Jose Sotelo,Laboratorio
Lunes,16:15,20:45,DESARROLLO WEB FULL STACK,C4-T-A,LAB-04,Claudio Huancahuire,Laboratorio
Lunes,17:00,20:00,DESARROLLO PERSONAL,C2-T,AULA-40-01,Erick Berrocal,Teoria
Lunes,17:45,21:30,AUDITORIA DE SISTEMAS,C10-NA,AULA-40-02,Joel Vilca,Teoria
Lunes,17:45,21:30,BUSINESS INTELLIGENCE,C10-NB1,LAB-06,Juan Hernandez,Laboratorio
Lunes,17:45,20:45,CONFIGURACIÓN DE SERVIDORES,C6-T-B,LAB-08,Leónidas Asto,Laboratorio
Martes,08:00,11:00,TEORÍA GENERAL DE SISTEMAS,C1-M,AULA-40-02,Percy Salcedo,Teoria
Martes,08:00,11:45,FÍSICA GENERAL,C2-M,AULA-40-04,Nilo Colquepisco,Teoria
Martes,08:00,11:45,SISTEMAS DIGITALES,C4-M-A,LAB-07,Marisol Daga,Laboratorio
Martes,08:00,12:30,DESARROLLO WEB FULL STACK,C4-M-B,LAB-05,Henry Alejos,Laboratorio
Martes,08:00,12:30,DISEÑO DE REDES DE COMUNICACIONES,C6-M-A,LAB-03,Jose Sotelo,Laboratorio
Martes,08:00,12:30,INTELIGENCIA ARTIFICIAL Y SISTEMAS EXPERTOS,C6-M-B,LAB-01,Magaly Aranguena,Laboratorio
